DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_PLAGE_PRIX,CD_NATR_ACTE_JURDQ,NB_REQST
2021-05-01,"12","2","001",419
2021-05-01,"12","3","001",68
2021-05-01,"13","1","001",125
2021-05-01,"13","2","001",467
2021-05-01,"13","3","001",330
2021-05-01,"14","1","001",966
2021-05-01,"14","2","001",858
2021-05-01,"14","3","001",223
2021-05-01,"15","1","001",1373
2021-05-01,"15","2","001",1336
2021-05-01,"15","3","001",610
2021-05-01,"16","1","001",1436
2021-05-01,"16","2","001",2333
2021-05-01,"16","3","001",1112
2021-05-01,"17","1","001",544
2021-05-01,"17","2","001",219
2021-05-01,"17","3","001",50
2021-06-01,"01","1","001",755
2021-06-01,"01","2","001",184
2021-06-01,"01","3","001",22
2021-06-01,"02","1","001",1164
2021-06-01,"02","2","001",308
2021-06-01,"02","3","001",24
2021-06-01,"03","1","001",1781
2021-06-01,"03","2","001",2003
2021-06-01,"03","3","001",297
2021-06-01,"04","1","001",998
2021-06-01,"04","2","001",281
2021-06-01,"04","3","001",50
2021-06-01,"05","1","001",898
2021-06-01,"05","2","001",646
2021-06-01,"05","3","001",155
2021-06-01,"06","1","001",341
2021-06-01,"06","2","001",1963
2021-06-01,"06","3","001",2359
2021-06-01,"07","1","001",865
2021-06-01,"07","2","001",843
2021-06-01,"07","3","001",281
2021-06-01,"08","1","001",382
2021-06-01,"08","2","001",187
2021-06-01,"08","3","001",19
2021-06-01,"09","1","001",231
2021-06-01,"09","2","001",32
2021-06-01,"09","3","001",1
2021-06-01,"11","1","001",316
2021-06-01,"11","2","001",44
2021-06-01,"11","3","001",4
